epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,28033.6,1.29392,0.95999,1.38752,0.66894,0.8072,0.75753,0.49055,1.29917,0.82637,1.43995,0.005842,0.005842,0.005842
44,28686.9,1.28558,0.95042,1.38096,0.66919,0.80802,0.75735,0.49178,1.29794,0.82405,1.43855,0.005743,0.005743,0.005743
45,29338.9,1.2819,0.94524,1.38062,0.67238,0.80715,0.75808,0.49228,1.29689,0.82198,1.43751,0.005644,0.005644,0.005644
46,29990.4,1.27776,0.94008,1.37649,0.67285,0.80844,0.75867,0.49259,1.29583,0.8198,1.43631,0.005545,0.005545,0.005545
47,30641.1,1.27853,0.9393,1.37471,0.67332,0.80992,0.75976,0.49363,1.29459,0.81778,1.43501,0.005446,0.005446,0.005446
48,31291.4,1.27208,0.93477,1.37277,0.67477,0.81119,0.76011,0.49427,1.29347,0.81547,1.43394,0.005347,0.005347,0.005347
49,31942.6,1.26708,0.9264,1.36934,0.67464,0.81348,0.76114,0.49518,1.29258,0.81316,1.433,0.005248,0.005248,0.005248
50,32593.1,1.26494,0.9215,1.36541,0.677,0.81236,0.76154,0.49597,1.29144,0.81078,1.43157,0.005149,0.005149,0.005149
51,33246,1.25651,0.91332,1.36194,0.67607,0.81622,0.76238,0.49645,1.29029,0.80815,1.43046,0.00505,0.00505,0.00505
52,33897.5,1.25968,0.9127,1.36445,0.67591,0.81688,0.7628,0.49702,1.28918,0.80634,1.42931,0.004951,0.004951,0.004951
53,34548.3,1.2476,0.9022,1.35446,0.67653,0.81631,0.76309,0.49768,1.28822,0.8039,1.42805,0.004852,0.004852,0.004852
54,35198.8,1.24674,0.89616,1.35385,0.67778,0.81673,0.76351,0.49842,1.28687,0.80178,1.42651,0.004753,0.004753,0.004753
55,35848.4,1.24402,0.89382,1.35122,0.67858,0.81677,0.76422,0.49929,1.28559,0.79969,1.42496,0.004654,0.004654,0.004654
56,36500.8,1.2331,0.88333,1.34427,0.6808,0.81767,0.76459,0.49993,1.2844,0.79729,1.42356,0.004555,0.004555,0.004555
57,37152.4,1.23553,0.88151,1.34622,0.68202,0.81806,0.76535,0.50104,1.28319,0.79516,1.42225,0.004456,0.004456,0.004456
58,37806.2,1.23439,0.88257,1.34663,0.68117,0.81947,0.76575,0.50202,1.28224,0.79295,1.42112,0.004357,0.004357,0.004357
59,38458,1.23239,0.87835,1.34517,0.68244,0.81892,0.76628,0.5028,1.28106,0.79063,1.41995,0.004258,0.004258,0.004258
60,39107.2,1.21732,0.86866,1.33313,0.68368,0.81905,0.76701,0.50367,1.27988,0.78811,1.41861,0.004159,0.004159,0.004159
61,39758.4,1.22043,0.86722,1.33809,0.68441,0.82113,0.76752,0.50406,1.27866,0.78601,1.41735,0.00406,0.00406,0.00406
62,40408.9,1.21396,0.85922,1.32985,0.68657,0.82008,0.76838,0.50462,1.27752,0.78414,1.41592,0.003961,0.003961,0.003961
63,41059.1,1.21227,0.85468,1.32652,0.68884,0.81906,0.76885,0.50553,1.27636,0.78223,1.41456,0.003862,0.003862,0.003862
64,41712,1.21025,0.85089,1.32729,0.69083,0.81848,0.76933,0.50617,1.27508,0.78036,1.41328,0.003763,0.003763,0.003763
65,42362.7,1.20256,0.84181,1.32291,0.69213,0.8183,0.76946,0.50694,1.27393,0.77825,1.41192,0.003664,0.003664,0.003664
